Dish Name,Ingredients
Apple Frangipan Tart,"175g/6oz digestive biscuits, 75g/3oz butter, 200g/7oz Bramley apples, 75g/3oz butter, softened, 75g/3oz caster sugar, 2 free-range eggs, beaten, 75g/3oz ground almonds, 1 tsp almond extract, 50g/1¾oz flaked almonds"
Apple & Blackberry Crumble,"120g Plain Flour, 60g Caster Sugar, 60g Butter, 300g Braeburn Apples, 30g Butter, 30g Demerara Sugar, 120g Blackberrys, ¼ teaspoon Cinnamon, to serve Ice Cream"
